event_id,username,timestamp,ip_address,country,device,success,event_type
1,wxu,2026-08-17 07:02:23,10.10.0.25,UK,Windows-Laptop,1,LOGIN
2,ttaylor,2026-08-17 07:14:05,81.2.12.44,UK,Windows-Laptop,1,LOGIN
3,iiqbal,2026-08-17 07:33:37,10.10.1.18,UK,Windows-Laptop,1,LOGIN
4,mmorris,2026-08-17 07:46:26,81.2.157.31,UK,MacBook,1,LOGIN
5,ggreen,2026-08-17 08:09:39,10.10.2.39,UK,MacBook,1,LOGIN
6,eford,2026-08-17 08:28:12,81.2.33.71,UK,Windows-Laptop,1,LOGIN
7,ppatel,2026-08-17 08:37:10,81.2.131.9,UK,Windows-Laptop,1,LOGIN
8,nperry,2026-08-17 08:48:28,81.2.157.31,UK,Windows-Laptop,1,LOGIN
9,bbennett,2026-08-17 08:57:35,81.2.131.9,UK,MacBook,1,LOGIN
10,mmoore,2026-08-17 09:04:21,10.10.2.39,UK,iPhone,1,LOGIN
11,jjones,2026-08-17 09:04:50,10.10.1.18,UK,iPhone,1,LOGIN
12,ffoster,2026-08-17 09:08:16,10.10.2.39,UK,MacBook,1,LOGIN
13,iiqbal,2026-08-17 09:13:40,10.10.1.18,UK,Windows-Laptop,1,LOGIN
14,jjames,2026-08-17 09:19:20,81.2.66.204,UK,Windows-Laptop,1,LOGIN
15,jjones,2026-08-17 09:20:07,81.2.66.204,UK,iPhone,1,LOGIN
16,zarcher,2026-08-17 09:20:52,10.10.0.25,UK,iPhone,1,LOGIN
17,zarcher,2026-08-17 09:27:19,10.10.0.25,UK,iPhone,1,LOGIN
18,nperry,2026-08-17 09:32:41,10.10.2.12,UK,Windows-Laptop,1,LOGIN
19,oowens,2026-08-17 09:37:50,10.10.1.44,UK,Windows-Laptop,1,LOGIN
20,oprice,2026-08-17 09:38:28,10.10.0.25,UK,iPhone,1,LOGIN
21,nnair,2026-08-17 09:46:45,10.10.2.12,UK,Windows-Laptop,1,LOGIN
22,mmorris,2026-08-17 09:56:31,10.10.2.39,UK,MacBook,1,LOGIN
23,iingram,2026-08-17 10:02:34,10.10.1.18,UK,MacBook,1,LOGIN
24,yzimmer,2026-08-17 10:03:04,81.2.105.23,UK,iPhone,1,LOGIN
25,mmoore,2026-08-17 10:05:16,10.10.2.39,UK,iPhone,1,LOGIN
26,pquinn,2026-08-17 10:08:43,10.10.1.44,UK,MacBook,1,LOGIN
27,bcole,2026-08-17 10:08:53,10.10.1.44,UK,MacBook,1,LOGIN
28,dellis,2026-08-17 10:10:21,81.2.145.203,UK,MacBook,1,LOGIN
29,ccarter,2026-08-17 10:11:30,10.10.2.12,UK,MacBook,0,LOGIN
30,cclark,2026-08-17 10:17:45,10.10.0.31,UK,Windows-Laptop,1,LOGIN
31,ggreen,2026-08-17 10:30:29,10.10.2.39,UK,MacBook,1,LOGIN
32,bbrown,2026-08-17 10:34:00,81.2.131.9,UK,MacBook,1,LOGIN
33,eedwards,2026-08-17 10:35:19,81.2.12.44,UK,MacBook,1,LOGIN
34,iingram,2026-08-17 10:45:38,81.2.119.152,UK,MacBook,1,LOGIN
35,mmorris,2026-08-17 10:47:47,10.10.2.39,UK,MacBook,1,LOGIN
36,tusman,2026-08-17 10:58:34,81.2.145.203,UK,Windows-Laptop,1,LOGIN
37,hhill,2026-08-17 10:59:57,81.2.91.88,UK,iPhone,1,LOGIN
38,iingram,2026-08-17 11:00:39,81.2.119.152,UK,MacBook,1,LOGIN
39,kmason,2026-08-17 11:05:24,10.10.1.18,UK,Windows-Laptop,1,LOGIN
40,vwhite,2026-08-17 11:10:40,81.2.66.204,UK,iPhone,1,LOGIN
